,int_time,sensor_id,int_sensor
0,20190101,0,51
1,20190101,0,49
2,20190101,0,47
3,20190101,0,49
4,20190101,0,52
5,20190101,0,51
6,20190102,0,50
7,20190102,0,51
8,20190102,0,48
9,20190102,0,49
10,20190102,0,50
11,20190102,0,49
12,20190103,0,49
13,20190103,0,51
14,20190103,0,50
15,20190103,0,51
16,20190103,0,51
17,20190103,0,49
18,20190104,0,49
19,20190104,0,52
20,20190104,0,49
21,20190104,0,52
22,20190104,0,50
23,20190104,0,49
24,20190105,0,48
25,20190105,0,51
26,20190105,0,52
27,20190105,0,48
28,20190105,0,50
29,20190105,0,51
30,20190106,0,53
31,20190106,0,49
32,20190106,0,50
33,20190106,0,52
34,20190106,0,49
35,20190106,0,51
36,20190107,0,55
37,20190107,0,47
38,20190107,0,49
39,20190107,0,50
40,20190107,0,48
41,20190107,0,52
42,20190108,0,52
43,20190108,0,48
44,20190108,0,52
45,20190108,0,50
46,20190108,0,50
47,20190108,0,55
48,20190109,0,50
49,20190109,0,52
50,20190109,0,52
51,20190109,0,48
52,20190109,0,48
53,20190109,0,51
54,20190110,0,51
55,20190110,0,49
56,20190110,0,52
57,20190110,0,51
58,20190110,0,48
59,20190110,0,53
60,20190111,0,47
61,20190111,0,51
62,20190111,0,52
63,20190111,0,46
64,20190111,0,54
65,20190111,0,52
66,20190112,0,52
67,20190112,0,50
68,20190112,0,51
69,20190112,0,51
70,20190112,0,49
71,20190112,0,49
72,20190113,0,53
73,20190113,0,49
74,20190113,0,53
75,20190113,0,52
76,20190113,0,49
77,20190113,0,50
78,20190114,0,49
79,20190114,0,52
80,20190114,0,53
81,20190114,0,54
82,20190114,0,49
83,20190114,0,51
84,20190115,0,50
85,20190115,0,48
86,20190115,0,51
87,20190115,0,48
88,20190115,0,52
89,20190115,0,52
90,20190116,0,50
91,20190116,0,52
92,20190116,0,51
93,20190116,0,49
94,20190116,0,50
95,20190116,0,48
96,20190117,0,52
97,20190117,0,51
98,20190117,0,46
99,20190117,0,48
100,20190117,0,54
101,20190117,0,51
102,20190118,0,55
103,20190118,0,50
104,20190118,0,50
105,20190118,0,53
106,20190118,0,49
107,20190118,0,51
108,20190119,0,50
109,20190119,0,52
110,20190119,0,52
111,20190119,0,49
112,20190119,0,50
113,20190119,0,52
114,20190120,0,48
115,20190120,0,53
116,20190120,0,51
117,20190120,0,50
118,20190120,0,54
119,20190120,0,50
120,20190121,0,50
121,20190121,0,52
122,20190121,0,51
123,20190121,0,51
124,20190121,0,51
125,20190121,0,53
126,20190122,0,54
127,20190122,0,51
128,20190122,0,52
129,20190122,0,50
130,20190122,0,49
131,20190122,0,55
132,20190123,0,52
133,20190123,0,51
134,20190123,0,50
135,20190123,0,50
136,20190123,0,52
137,20190123,0,53
138,20190124,0,47
139,20190124,0,52
140,20190124,0,48
141,20190124,0,51
142,20190124,0,52
143,20190124,0,50
144,20190125,0,49
145,20190125,0,53
146,20190125,0,52
147,20190125,0,55
148,20190125,0,51
149,20190125,0,53
150,20190126,0,54
151,20190126,0,51
152,20190126,0,53
153,20190126,0,49
154,20190126,0,50
155,20190126,0,50
156,20190127,0,53
157,20190127,0,55
158,20190127,0,51
159,20190127,0,50
160,20190127,0,53
161,20190127,0,53
162,20190128,0,51
163,20190128,0,55
164,20190128,0,54
165,20190128,0,51
166,20190128,0,50
167,20190128,0,50
168,20190129,0,51
169,20190129,0,54
170,20190129,0,50
171,20190129,0,54
172,20190129,0,56
173,20190129,0,51
174,20190130,0,52
175,20190130,0,52
176,20190130,0,50
177,20190130,0,50
178,20190130,0,49
179,20190130,0,51
180,20190131,0,53
181,20190131,0,54
182,20190131,0,51
183,20190131,0,53
184,20190131,0,50
185,20190131,0,51
186,20190201,0,55
187,20190201,0,52
188,20190201,0,54
189,20190201,0,53
190,20190201,0,54
191,20190201,0,53
192,20190202,0,53
193,20190202,0,53
194,20190202,0,56
195,20190202,0,47
196,20190202,0,51
197,20190202,0,55
198,20190203,0,52
199,20190203,0,52
200,20190203,0,51
201,20190203,0,49
202,20190203,0,53
203,20190203,0,51
204,20190204,0,51
205,20190204,0,55
206,20190204,0,55
207,20190204,0,52
208,20190204,0,48
209,20190204,0,49
210,20190205,0,54
211,20190205,0,53
212,20190205,0,50
213,20190205,0,54
214,20190205,0,49
215,20190205,0,51
216,20190206,0,50
217,20190206,0,51
218,20190206,0,53
219,20190206,0,52
220,20190206,0,50
221,20190206,0,50
222,20190207,0,50
223,20190207,0,51
224,20190207,0,57
225,20190207,0,53
226,20190207,0,53
227,20190207,0,55
228,20190208,0,50
229,20190208,0,53
230,20190208,0,48
231,20190208,0,49
232,20190208,0,54
233,20190208,0,53
234,20190209,0,53
235,20190209,0,53
236,20190209,0,56
237,20190209,0,55
238,20190209,0,52
239,20190209,0,51
240,20190210,0,51
241,20190210,0,50
242,20190210,0,51
243,20190210,0,55
244,20190210,0,53
245,20190210,0,52
246,20190211,0,50
247,20190211,0,55
248,20190211,0,52
249,20190211,0,53
250,20190211,0,51
251,20190211,0,50
252,20190212,0,53
253,20190212,0,52
254,20190212,0,52
255,20190212,0,52
256,20190212,0,56
257,20190212,0,54
258,20190213,0,53
259,20190213,0,54
260,20190213,0,56
261,20190213,0,50
262,20190213,0,54
263,20190213,0,54
264,20190214,0,52
265,20190214,0,50
266,20190214,0,53
267,20190214,0,52
268,20190214,0,53
269,20190214,0,54
270,20190215,0,50
271,20190215,0,54
272,20190215,0,51
273,20190215,0,53
274,20190215,0,54
275,20190215,0,54
276,20190216,0,57
277,20190216,0,48
278,20190216,0,53
279,20190216,0,52
280,20190216,0,52
281,20190216,0,55
282,20190217,0,51
283,20190217,0,51
284,20190217,0,53
285,20190217,0,48
286,20190217,0,50
287,20190217,0,49
288,20190218,0,52
289,20190218,0,53
290,20190218,0,53
291,20190218,0,53
292,20190218,0,53
293,20190218,0,54
294,20190219,0,55
295,20190219,0,55
296,20190219,0,54
297,20190219,0,55
298,20190219,0,54
299,20190219,0,55
300,20190220,0,55
301,20190220,0,51
302,20190220,0,52
303,20190220,0,52
304,20190220,0,52
305,20190220,0,54
306,20190221,0,54
307,20190221,0,53
308,20190221,0,51
309,20190221,0,52
310,20190221,0,54
311,20190221,0,51
312,20190222,0,52
